,start,n_intervals,device_id,prices
42,2023-12-04 16:15:00+00:00,78,2,"[12.463, 12.097, 11.448, 10.555, 10.0, 9.176, 9.085, 8.801, 8.573, 8.362, 8.471, 9.102, 10.8, 11.432, 12.228000000000002, 12.288, 12.055, 12.127, 11.834]"
43,2023-11-13 13:15:00+00:00,7,1,"[8.731, 8.118]"
44,2023-12-22 13:30:00+00:00,12,1,"[3.4170000000000003, 4.241, 4.295000000000001]"
45,2023-10-13 12:15:00+00:00,3,1,[0.424]
46,2024-02-05 08:15:00+00:00,3,1,[5.293]
47,2024-02-09 17:30:00+00:00,61,1,"[8.705, 8.044, 7.52, 7.491, 7.094, 6.31, 6.408, 6.44, 6.439, 6.441, 6.582, 7.091, 7.486, 7.77, 8.038]"
48,2023-11-17 13:45:00+00:00,10,1,"[12.999000000000002, 13.765, 14.632]"
49,2023-11-29 13:15:00+00:00,5,1,[16.8]
50,2024-01-18 13:45:00+00:00,19,1,"[9.425, 9.952, 10.468, 10.326, 9.453]"
51,2023-11-06 14:30:00+00:00,66,1,"[11.217, 13.767, 15.094, 13.952000000000002, 11.112000000000002, 10.567, 9.908, 8.774, 7.89, 7.63, 7.08, 6.801000000000001, 7.025, 8.334999999999999, 10.128, 13.289, 13.605000000000002]"
52,2023-12-28 15:45:00+00:00,66,1,"[4.683, 4.59, 3.855, 1.998, 1.375, 1.772, 0.1, 0.0, -0.008, -0.028, -0.093, -0.095, -0.026, -0.007, -0.001, 0.444, 0.109]"
53,2024-02-28 07:00:00+00:00,24,1,"[10.449, 8.546, 7.399, 6.755, 6.393, 6.072, 6.151]"
54,2023-10-24 13:30:00+00:00,77,1,"[12.916, 14.0, 14.987000000000002, 15.407, 13.345, 11.931, 11.41, 10.278, 9.907, 9.456, 8.943000000000001, 8.606, 9.054, 9.699, 12.55, 15.016, 15.287, 14.049, 13.002000000000002]"
55,2024-02-23 14:15:00+00:00,6,1,[6.308]
56,2023-11-02 13:15:00+00:00,70,1,"[7.608, 7.943000000000001, 8.726, 9.795, 9.384, 8.776000000000002, 7.595, 7.227, 5.704000000000001, 1.517, 1.147, 1.0, 0.573, 0.973, 2.3600000000000003, 6.158, 8.98]"
57,2023-11-11 08:00:00+00:00,8,1,"[9.489, 9.128, 9.022]"
58,2024-02-15 09:15:00+00:00,15,1,"[6.996, 6.663, 6.619, 6.991]"
59,2023-10-23 10:15:00+00:00,8,1,"[10.322, 10.7]"
60,2024-01-29 16:15:00+00:00,3,1,[11.73]
61,2024-01-31 07:00:00+00:00,5,1,"[11.993, 9.361]"
62,2023-10-30 13:15:00+00:00,8,1,"[13.945, 14.493000000000002]"
63,2024-03-01 07:45:00+00:00,24,1,"[7.588, 6.652, 6.476, 6.308, 6.463, 6.711]"
64,2023-11-24 16:00:00+00:00,65,1,"[9.097, 9.025, 8.623000000000001, 8.15, 7.474, 7.756, 7.284, 7.806999999999999, 7.403, 7.207, 7.1610000000000005, 6.999, 7.419, 7.981, 8.708, 9.429, 9.174]"
65,2023-12-23 16:45:00+00:00,67,1,"[6.6450000000000005, 6.155, 5.370000000000001, 4.156000000000001, 2.029, 0.774, 0.0, -0.003, -0.0289999999999999, -0.097, -0.374, -0.497, -0.422, -0.291, -0.293, -0.313, -0.515]"
66,2024-02-02 13:15:00+00:00,11,1,"[5.309, 5.273, 5.85]"
67,2023-12-12 14:45:00+00:00,7,1,"[11.793, 11.088]"
68,2024-02-12 16:45:00+00:00,7,1,"[9.6, 8.908]"
69,2023-12-02 11:15:00+00:00,83,1,"[11.458, 11.852, 12.35, 12.979, 14.404, 14.496000000000002, 12.956, 12.252, 11.483, 10.988, 10.601, 10.83, 10.268, 9.988, 9.862000000000002, 9.462, 9.172, 8.886000000000001, 9.213, 9.702, 10.015]"
70,2024-02-29 09:00:00+00:00,3,1,[6.047]
